NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode none --out runs/expA_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 420 episodes in 34.3s
loaded split val: 90 episodes in 7.2s
loaded split test: 90 episodes in 6.8s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=none params=618630
step 100 loss 3.83817 (1-step 3.83817) 4s
step 200 loss 2.35898 (1-step 2.35898) 5s
step 300 loss 3.14575 (1-step 3.14575) 5s
step 400 loss 3.59656 (1-step 3.59656) 6s
step 500 loss 2.46183 (1-step 2.46183) 7s
step 600 loss 2.51524 (1-step 2.51524) 8s
step 700 loss 2.30458 (1-step 2.30458) 8s
step 800 loss 3.04648 (1-step 3.04648) 9s
step 900 loss 2.53944 (1-step 2.53944) 10s
step 1000 loss 2.03907 (1-step 2.03907) 11s
step 1100 loss 3.42971 (1-step 3.42971) 12s
step 1200 loss 1.44687 (1-step 1.44687) 13s
step 1300 loss 2.05976 (1-step 2.05976) 14s
step 1400 loss 2.82329 (1-step 2.82329) 14s
step 1500 loss 1.71539 (1-step 1.71539) 15s
step 1600 loss 1.51581 (1-step 1.51581) 16s
step 1700 loss 1.67973 (1-step 1.67973) 17s
step 1800 loss 1.27350 (1-step 1.27350) 18s
step 1900 loss 2.03996 (1-step 2.03996) 18s
step 2000 loss 1.92279 (1-step 1.92279) 19s
step 2100 loss 1.48444 (1-step 1.48444) 20s
step 2200 loss 1.65249 (1-step 1.65249) 21s
step 2300 loss 1.44281 (1-step 1.44281) 22s
step 2400 loss 2.79324 (1-step 2.79324) 23s
step 2500 loss 2.80172 (1-step 2.80172) 23s
step 2600 loss 2.09565 (1-step 2.09565) 24s
step 2700 loss 2.78163 (1-step 2.78163) 25s
step 2800 loss 2.00826 (1-step 2.00826) 26s
step 2900 loss 2.22783 (1-step 2.22783) 27s
step 3000 loss 2.46212 (1-step 2.46212) 28s
step 3100 loss 2.32426 (1-step 2.32426) 29s
step 3200 loss 1.99693 (1-step 1.99693) 29s
step 3300 loss 2.53315 (1-step 2.53315) 30s
step 3400 loss 1.79032 (1-step 1.79032) 31s
step 3500 loss 1.73942 (1-step 1.73942) 32s
step 3600 loss 1.57509 (1-step 1.57509) 32s
step 3700 loss 2.22402 (1-step 2.22402) 33s
step 3800 loss 2.48113 (1-step 2.48113) 34s
step 3900 loss 2.08713 (1-step 2.08713) 35s
step 4000 loss 1.33317 (1-step 1.33317) 36s
step 4100 loss 1.66298 (1-step 1.66298) 37s
step 4200 loss 2.30261 (1-step 2.30261) 38s
step 4300 loss 1.48355 (1-step 1.48355) 38s
step 4400 loss 2.70750 (1-step 2.70750) 39s
step 4500 loss 1.24089 (1-step 1.24089) 40s
step 4600 loss 2.01076 (1-step 2.01076) 41s
step 4700 loss 2.00928 (1-step 2.00928) 42s
step 4800 loss 1.57603 (1-step 1.57603) 42s
step 4900 loss 1.77954 (1-step 1.77954) 43s
step 5000 loss 1.69417 (1-step 1.69417) 44s
step 5100 loss 1.47516 (1-step 1.47516) 45s
step 5200 loss 2.39959 (1-step 2.39959) 46s
step 5300 loss 1.23045 (1-step 1.23045) 47s
step 5400 loss 1.27095 (1-step 1.27095) 47s
step 5500 loss 1.72730 (1-step 1.72730) 48s
step 5600 loss 1.08995 (1-step 1.08995) 49s
step 5700 loss 2.09249 (1-step 2.09249) 50s
step 5800 loss 1.01663 (1-step 1.01663) 51s
step 5900 loss 1.18513 (1-step 1.18513) 52s
step 6000 loss 1.75722 (1-step 1.75722) 53s
step 6100 loss 1.53858 (1-step 1.53858) 53s
step 6200 loss 1.99527 (1-step 1.99527) 54s
step 6300 loss 1.72317 (1-step 1.72317) 55s
step 6400 loss 1.99279 (1-step 1.99279) 56s
step 6500 loss 1.26042 (1-step 1.26042) 57s
step 6600 loss 1.29940 (1-step 1.29940) 57s
step 6700 loss 1.43830 (1-step 1.43830) 58s
step 6800 loss 1.16739 (1-step 1.16739) 59s
step 6900 loss 0.97225 (1-step 0.97225) 60s
step 7000 loss 0.81929 (1-step 0.81929) 61s
step 7100 loss 0.84854 (1-step 0.84854) 62s
step 7200 loss 1.04882 (1-step 1.04882) 62s
step 7300 loss 1.14727 (1-step 1.14727) 63s
step 7400 loss 1.22297 (1-step 1.22297) 64s
step 7500 loss 1.37761 (1-step 1.37761) 65s
step 7600 loss 1.18522 (1-step 1.18522) 66s
step 7700 loss 0.83426 (1-step 0.83426) 66s
step 7800 loss 1.72788 (1-step 1.72788) 67s
step 7900 loss 1.11181 (1-step 1.11181) 68s
step 8000 loss 0.95153 (1-step 0.95153) 69s
step 8100 loss 0.84015 (1-step 0.84015) 70s
step 8200 loss 1.19839 (1-step 1.19839) 71s
step 8300 loss 1.12067 (1-step 1.12067) 72s
step 8400 loss 1.77188 (1-step 1.77188) 72s
step 8500 loss 1.99001 (1-step 1.99001) 73s
step 8600 loss 0.88867 (1-step 0.88867) 74s
step 8700 loss 1.32501 (1-step 1.32501) 75s
step 8800 loss 1.37654 (1-step 1.37654) 76s
step 8900 loss 0.74875 (1-step 0.74875) 77s
step 9000 loss 1.59143 (1-step 1.59143) 77s
step 9100 loss 0.88752 (1-step 0.88752) 78s
step 9200 loss 1.24461 (1-step 1.24461) 79s
step 9300 loss 0.93968 (1-step 0.93968) 80s
step 9400 loss 0.94900 (1-step 0.94900) 81s
step 9500 loss 0.56902 (1-step 0.56902) 81s
step 9600 loss 1.34134 (1-step 1.34134) 82s
step 9700 loss 0.99546 (1-step 0.99546) 83s
step 9800 loss 1.24699 (1-step 1.24699) 84s
step 9900 loss 0.72987 (1-step 0.72987) 85s
step 10000 loss 1.41840 (1-step 1.41840) 86s
  [val one-step] dv_err_mean=0.01524 dw_err_mean=0.1715 dv_err_far_free=0.001656 dw_err_far_free=0.0138 dv_err_near_contact=0.02772 dw_err_near_contact=0.1928 dv_err_first_impact=0.675 dw_err_first_impact=6.384 dv_err_contact=0.01344 dw_err_contact=0.1651 dv_err_rebound_repeat=0.1273 dw_err_rebound_repeat=2.03 dv_err_resting=0.004468 dw_err_resting=0.0783
step 10100 loss 1.16463 (1-step 1.16463) 87s
step 10200 loss 0.62109 (1-step 0.62109) 88s
step 10300 loss 0.95749 (1-step 0.95749) 88s
step 10400 loss 0.75044 (1-step 0.75044) 89s
step 10500 loss 0.81113 (1-step 0.81113) 90s
step 10600 loss 0.82509 (1-step 0.82509) 91s
