NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode none --out runs/expA_pilot_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 1189 episodes in 86.2s
loaded split val: 255 episodes in 18.7s
loaded split test: 255 episodes in 4.4s
loaded split test_geometry: 301 episodes in 1.8s
transition model contact_mode=none params=618630
step 100 loss 2.22817 (1-step 2.22817) 4s
step 200 loss 2.44645 (1-step 2.44645) 5s
step 300 loss 2.72974 (1-step 2.72974) 6s
step 400 loss 2.88552 (1-step 2.88552) 6s
step 500 loss 3.90633 (1-step 3.90633) 7s
step 600 loss 3.50666 (1-step 3.50666) 8s
step 700 loss 3.84480 (1-step 3.84480) 9s
step 800 loss 2.91162 (1-step 2.91162) 9s
step 900 loss 1.99959 (1-step 1.99959) 10s
step 1000 loss 2.98011 (1-step 2.98011) 11s
step 1100 loss 3.55009 (1-step 3.55009) 12s
step 1200 loss 1.84219 (1-step 1.84219) 13s
step 1300 loss 2.50387 (1-step 2.50387) 13s
step 1400 loss 1.71612 (1-step 1.71612) 14s
step 1500 loss 2.28836 (1-step 2.28836) 15s
step 1600 loss 3.66820 (1-step 3.66820) 16s
step 1700 loss 4.16355 (1-step 4.16355) 16s
step 1800 loss 3.72934 (1-step 3.72934) 17s
step 1900 loss 2.72989 (1-step 2.72989) 18s
step 2000 loss 3.25982 (1-step 3.25982) 19s
step 2100 loss 2.45315 (1-step 2.45315) 20s
step 2200 loss 3.55550 (1-step 3.55550) 21s
step 2300 loss 3.36189 (1-step 3.36189) 22s
step 2400 loss 2.80724 (1-step 2.80724) 22s
step 2500 loss 1.76230 (1-step 1.76230) 23s
step 2600 loss 1.83292 (1-step 1.83292) 24s
step 2700 loss 1.51493 (1-step 1.51493) 24s
step 2800 loss 2.84808 (1-step 2.84808) 25s
step 2900 loss 1.63021 (1-step 1.63021) 26s
step 3000 loss 2.52185 (1-step 2.52185) 27s
step 3100 loss 3.14370 (1-step 3.14370) 28s
step 3200 loss 2.38915 (1-step 2.38915) 28s
step 3300 loss 2.42051 (1-step 2.42051) 29s
step 3400 loss 2.23282 (1-step 2.23282) 30s
step 3500 loss 1.47678 (1-step 1.47678) 31s
step 3600 loss 2.01937 (1-step 2.01937) 32s
step 3700 loss 2.35010 (1-step 2.35010) 33s
step 3800 loss 2.62642 (1-step 2.62642) 33s
step 3900 loss 1.68664 (1-step 1.68664) 34s
step 4000 loss 2.33040 (1-step 2.33040) 35s
step 4100 loss 2.99491 (1-step 2.99491) 36s
step 4200 loss 1.74777 (1-step 1.74777) 37s
step 4300 loss 1.47897 (1-step 1.47897) 37s
step 4400 loss 2.42622 (1-step 2.42622) 38s
step 4500 loss 2.11911 (1-step 2.11911) 39s
step 4600 loss 2.71399 (1-step 2.71399) 39s
step 4700 loss 1.67392 (1-step 1.67392) 40s
step 4800 loss 2.28924 (1-step 2.28924) 41s
step 4900 loss 2.99584 (1-step 2.99584) 42s
step 5000 loss 1.50851 (1-step 1.50851) 43s
step 5100 loss 2.76886 (1-step 2.76886) 43s
step 5200 loss 3.61128 (1-step 3.61128) 44s
step 5300 loss 2.47955 (1-step 2.47955) 45s
step 5400 loss 2.75247 (1-step 2.75247) 46s
step 5500 loss 1.23682 (1-step 1.23682) 47s
step 5600 loss 2.08926 (1-step 2.08926) 47s
step 5700 loss 1.16034 (1-step 1.16034) 48s
step 5800 loss 1.99557 (1-step 1.99557) 49s
step 5900 loss 3.18886 (1-step 3.18886) 50s
