NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode explicit --out runs/expB_oracle_explicit --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt,analytic
loaded split train: 420 episodes in 28.1s
loaded split val: 90 episodes in 6.8s
loaded split test: 90 episodes in 6.0s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=explicit params=640582
step 100 loss 3.68864 (1-step 3.68864) 4s
step 200 loss 1.99018 (1-step 1.99018) 7s
step 300 loss 2.47369 (1-step 2.47369) 9s
step 400 loss 2.51394 (1-step 2.51394) 11s
step 500 loss 1.66271 (1-step 1.66271) 14s
step 600 loss 1.63714 (1-step 1.63714) 16s
step 700 loss 1.25833 (1-step 1.25833) 18s
step 800 loss 1.43919 (1-step 1.43919) 20s
step 900 loss 0.90718 (1-step 0.90718) 22s
step 1000 loss 0.75707 (1-step 0.75707) 25s
step 1100 loss 1.02420 (1-step 1.02420) 27s
step 1200 loss 0.49431 (1-step 0.49431) 29s
step 1300 loss 0.65964 (1-step 0.65964) 31s
step 1400 loss 0.75998 (1-step 0.75998) 33s
step 1500 loss 0.49387 (1-step 0.49387) 35s
step 1600 loss 0.29806 (1-step 0.29806) 37s
step 1700 loss 0.29981 (1-step 0.29981) 40s
step 1800 loss 0.23055 (1-step 0.23055) 42s
step 1900 loss 0.44599 (1-step 0.44599) 44s
step 2000 loss 0.32039 (1-step 0.32039) 46s
step 2100 loss 0.28588 (1-step 0.28588) 49s
step 2200 loss 0.26364 (1-step 0.26364) 51s
step 2300 loss 0.24480 (1-step 0.24480) 53s
step 2400 loss 0.39912 (1-step 0.39912) 55s
step 2500 loss 0.24082 (1-step 0.24082) 57s
step 2600 loss 0.33075 (1-step 0.33075) 60s
step 2700 loss 0.32366 (1-step 0.32366) 62s
step 2800 loss 0.23560 (1-step 0.23560) 64s
step 2900 loss 0.25733 (1-step 0.25733) 66s
step 3000 loss 0.22293 (1-step 0.22293) 68s
step 3100 loss 0.21124 (1-step 0.21124) 71s
step 3200 loss 0.16445 (1-step 0.16445) 73s
step 3300 loss 0.23236 (1-step 0.23236) 75s
step 3400 loss 0.14898 (1-step 0.14898) 78s
step 3500 loss 0.14303 (1-step 0.14303) 80s
step 3600 loss 0.16961 (1-step 0.16961) 82s
step 3700 loss 0.12254 (1-step 0.12254) 84s
step 3800 loss 0.12336 (1-step 0.12336) 86s
step 3900 loss 0.12801 (1-step 0.12801) 88s
step 4000 loss 0.11594 (1-step 0.11594) 91s
step 4100 loss 0.15782 (1-step 0.15782) 93s
step 4200 loss 0.10197 (1-step 0.10197) 96s
step 4300 loss 0.11426 (1-step 0.11426) 98s
step 4400 loss 0.16099 (1-step 0.16099) 100s
step 4500 loss 0.09894 (1-step 0.09894) 102s
step 4600 loss 0.11483 (1-step 0.11483) 104s
step 4700 loss 0.09797 (1-step 0.09797) 107s
step 4800 loss 0.06699 (1-step 0.06699) 109s
step 4900 loss 0.08588 (1-step 0.08588) 111s
step 5000 loss 0.11069 (1-step 0.11069) 113s
step 5100 loss 0.09794 (1-step 0.09794) 116s
step 5200 loss 0.09300 (1-step 0.09300) 118s
step 5300 loss 0.07410 (1-step 0.07410) 121s
step 5400 loss 0.07298 (1-step 0.07298) 123s
step 5500 loss 0.10588 (1-step 0.10588) 125s
step 5600 loss 0.09113 (1-step 0.09113) 127s
step 5700 loss 0.08580 (1-step 0.08580) 129s
step 5800 loss 0.06979 (1-step 0.06979) 132s
step 5900 loss 0.19789 (1-step 0.19789) 134s
step 6000 loss 0.08063 (1-step 0.08063) 136s
step 6100 loss 0.07345 (1-step 0.07345) 139s
step 6200 loss 0.07080 (1-step 0.07080) 141s
step 6300 loss 0.05673 (1-step 0.05673) 143s
step 6400 loss 0.07068 (1-step 0.07068) 145s
step 6500 loss 0.05780 (1-step 0.05780) 148s
step 6600 loss 0.04955 (1-step 0.04955) 150s
step 6700 loss 0.08876 (1-step 0.08876) 152s
step 6800 loss 0.05584 (1-step 0.05584) 154s
step 6900 loss 0.04842 (1-step 0.04842) 157s
