NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expB_pilot_oracle_explicit --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt,analytic
loaded split train: 1189 episodes in 7.8s
loaded split val: 255 episodes in 1.6s
loaded split test: 255 episodes in 1.6s
loaded split test_geometry: 301 episodes in 1.9s
transition model contact_mode=explicit params=640582
step 100 loss 2.13956 (1-step 2.13956) 4s
step 200 loss 2.08951 (1-step 2.08951) 5s
step 300 loss 2.09885 (1-step 2.09885) 6s
step 400 loss 2.19018 (1-step 2.19018) 7s
step 500 loss 2.94827 (1-step 2.94827) 8s
step 600 loss 2.53330 (1-step 2.53330) 9s
step 700 loss 2.84125 (1-step 2.84125) 9s
step 800 loss 2.08505 (1-step 2.08505) 10s
step 900 loss 1.27330 (1-step 1.27330) 11s
step 1000 loss 1.68041 (1-step 1.68041) 12s
step 1100 loss 1.93103 (1-step 1.93103) 13s
step 1200 loss 1.16941 (1-step 1.16941) 14s
step 1300 loss 1.03256 (1-step 1.03256) 15s
step 1400 loss 0.64746 (1-step 0.64746) 16s
step 1500 loss 0.90590 (1-step 0.90590) 16s
step 1600 loss 1.49005 (1-step 1.49005) 17s
step 1700 loss 1.49740 (1-step 1.49740) 18s
step 1800 loss 1.18042 (1-step 1.18042) 19s
step 1900 loss 0.99030 (1-step 0.99030) 20s
step 2000 loss 1.12180 (1-step 1.12180) 21s
step 2100 loss 0.87565 (1-step 0.87565) 22s
step 2200 loss 0.93351 (1-step 0.93351) 23s
step 2300 loss 1.07734 (1-step 1.07734) 24s
step 2400 loss 1.06293 (1-step 1.06293) 25s
step 2500 loss 0.79563 (1-step 0.79563) 25s
step 2600 loss 0.43173 (1-step 0.43173) 26s
step 2700 loss 0.43272 (1-step 0.43272) 27s
step 2800 loss 0.82539 (1-step 0.82539) 28s
step 2900 loss 0.47588 (1-step 0.47588) 29s
step 3000 loss 0.75119 (1-step 0.75119) 30s
step 3100 loss 0.94551 (1-step 0.94551) 31s
step 3200 loss 0.49471 (1-step 0.49471) 31s
step 3300 loss 0.70926 (1-step 0.70926) 32s
step 3400 loss 0.55792 (1-step 0.55792) 33s
step 3500 loss 0.37341 (1-step 0.37341) 34s
step 3600 loss 0.60909 (1-step 0.60909) 35s
step 3700 loss 0.60282 (1-step 0.60282) 36s
step 3800 loss 0.69919 (1-step 0.69919) 37s
step 3900 loss 0.45179 (1-step 0.45179) 38s
step 4000 loss 0.52089 (1-step 0.52089) 38s
step 4100 loss 0.68699 (1-step 0.68699) 40s
