NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder patch --out runs/expC_patch --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 91.6s
loaded split val: 255 episodes in 18.9s
loaded split test: 255 episodes in 22.5s
loaded split test_geometry: 301 episodes in 26.6s
encoder=patch params=660769
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 100 loss 31.2539 active=0.070 d=0.101 p_box=3.384 p_ground=2.546 normal=0.026 cardinality=1.156 uncertainty=1.775 (7s)
step 200 loss 23.5082 active=0.062 d=0.015 p_box=2.347 p_ground=2.140 normal=0.022 cardinality=0.983 uncertainty=1.792 (10s)
step 300 loss 8.0870 active=0.057 d=0.009 p_box=0.178 p_ground=1.318 normal=0.009 cardinality=0.867 uncertainty=0.005 (13s)
step 400 loss 5.5272 active=0.056 d=0.005 p_box=0.092 p_ground=0.922 normal=0.005 cardinality=0.833 uncertainty=-0.502 (16s)
step 500 loss 3.9150 active=0.057 d=0.004 p_box=0.044 p_ground=0.675 normal=0.003 cardinality=0.812 uncertainty=-1.107 (20s)
step 600 loss 2.9910 active=0.055 d=0.003 p_box=0.023 p_ground=0.536 normal=0.002 cardinality=0.751 uncertainty=-1.503 (23s)
step 700 loss 3.0500 active=0.054 d=0.003 p_box=0.038 p_ground=0.527 normal=0.002 cardinality=0.730 uncertainty=-1.323 (26s)
step 800 loss 2.3142 active=0.052 d=0.002 p_box=0.020 p_ground=0.420 normal=0.001 cardinality=0.723 uncertainty=-1.835 (29s)
step 900 loss 1.8874 active=0.050 d=0.003 p_box=0.007 p_ground=0.369 normal=0.001 cardinality=0.693 uncertainty=-2.273 (32s)
step 1000 loss 1.9176 active=0.051 d=0.002 p_box=0.011 p_ground=0.355 normal=0.001 cardinality=0.739 uncertainty=-1.965 (36s)
step 1100 loss 2.3773 active=0.049 d=0.002 p_box=0.030 p_ground=0.354 normal=0.001 cardinality=0.659 uncertainty=0.101 (39s)
step 1200 loss 1.4542 active=0.047 d=0.001 p_box=0.005 p_ground=0.299 normal=0.001 cardinality=0.646 uncertainty=-2.446 (42s)
step 1300 loss 1.4940 active=0.050 d=0.001 p_box=0.015 p_ground=0.277 normal=0.001 cardinality=0.641 uncertainty=-1.964 (45s)
step 1400 loss 1.4084 active=0.048 d=0.001 p_box=0.004 p_ground=0.297 normal=0.001 cardinality=0.644 uncertainty=-2.620 (48s)
step 1500 loss 1.4085 active=0.050 d=0.001 p_box=0.008 p_ground=0.276 normal=0.001 cardinality=0.824 uncertainty=-2.650 (51s)
step 1600 loss 1.7540 active=0.047 d=0.001 p_box=0.010 p_ground=0.290 normal=0.001 cardinality=0.619 uncertainty=-0.779 (55s)
step 1700 loss 1.0923 active=0.046 d=0.001 p_box=0.006 p_ground=0.240 normal=0.000 cardinality=0.601 uncertainty=-2.672 (58s)
step 1800 loss 1.0837 active=0.049 d=0.001 p_box=0.006 p_ground=0.229 normal=0.000 cardinality=0.614 uncertainty=-2.492 (61s)
step 1900 loss 0.8724 active=0.049 d=0.001 p_box=0.002 p_ground=0.200 normal=0.000 cardinality=0.633 uncertainty=-2.794 (64s)
step 2000 loss 0.7835 active=0.044 d=0.001 p_box=0.002 p_ground=0.195 normal=0.000 cardinality=0.552 uncertainty=-2.851 (67s)
  [val] slot_precision=0.8832213282585144 slot_recall=0.8274092674255371 frame_precision=0.955288827419281 frame_recall=0.7676633596420288 d_mae=0.0013512952718883753 d_p95=0.0029727923683822155 point_err_median_pct_min_dim=0.06494417041540146 point_err_p95_pct_min_dim=1.4642266035079956 ground_point_err_median_pct_min_dim=8.925716400146484 normal_deg_median=1.072758674621582 normal_deg_p95=2.242626667022705 cardinality_acc=0.7919154763221741 count_acc=0.7525845170021057 ece=0.1618621254796017 n_frames=148382 uncertainty_error_corr=-0.2036162163792566
step 2100 loss 0.7072 active=0.042 d=0.001 p_box=0.003 p_ground=0.179 normal=0.000 cardinality=0.532 uncertainty=-2.781 (82s)
step 2200 loss 1.9717 active=0.041 d=0.001 p_box=0.041 p_ground=0.259 normal=0.000 cardinality=0.489 uncertainty=0.680 (85s)
step 2300 loss 1.0022 active=0.044 d=0.001 p_box=0.002 p_ground=0.231 normal=0.000 cardinality=0.574 uncertainty=-2.708 (88s)
step 2400 loss 0.9313 active=0.039 d=0.001 p_box=0.012 p_ground=0.215 normal=0.000 cardinality=0.529 uncertainty=-2.746 (92s)
step 2500 loss 0.9414 active=0.038 d=0.001 p_box=0.002 p_ground=0.233 normal=0.000 cardinality=0.464 uncertainty=-2.728 (95s)
