NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder patch --out runs/expC_patch_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.5s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=patch params=660769
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 100 loss 31.2539 active=0.070 d=0.101 p_box=3.384 p_ground=2.546 normal=0.026 cardinality=1.156 uncertainty=1.775 (9s)
step 200 loss 23.5082 active=0.062 d=0.015 p_box=2.347 p_ground=2.140 normal=0.022 cardinality=0.983 uncertainty=1.792 (12s)
step 300 loss 7.9801 active=0.057 d=0.008 p_box=0.182 p_ground=1.293 normal=0.010 cardinality=0.866 uncertainty=0.018 (15s)
step 400 loss 5.5230 active=0.056 d=0.004 p_box=0.069 p_ground=0.951 normal=0.005 cardinality=0.819 uncertainty=-0.628 (18s)
step 500 loss 3.8101 active=0.059 d=0.004 p_box=0.027 p_ground=0.671 normal=0.003 cardinality=0.870 uncertainty=-1.273 (22s)
step 600 loss 3.0495 active=0.054 d=0.003 p_box=0.017 p_ground=0.557 normal=0.003 cardinality=0.740 uncertainty=-1.598 (25s)
step 700 loss 2.8408 active=0.054 d=0.003 p_box=0.024 p_ground=0.513 normal=0.002 cardinality=0.757 uncertainty=-1.758 (28s)
step 800 loss 2.3141 active=0.053 d=0.003 p_box=0.017 p_ground=0.434 normal=0.001 cardinality=0.741 uncertainty=-2.140 (31s)
step 900 loss 1.9035 active=0.052 d=0.002 p_box=0.007 p_ground=0.368 normal=0.001 cardinality=0.703 uncertainty=-2.202 (34s)
step 1000 loss 1.9203 active=0.051 d=0.002 p_box=0.010 p_ground=0.374 normal=0.001 cardinality=0.710 uncertainty=-2.333 (37s)
step 1100 loss 1.6765 active=0.049 d=0.002 p_box=0.008 p_ground=0.332 normal=0.001 cardinality=0.648 uncertainty=-2.280 (40s)
