NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 103.1s
loaded split val: 255 episodes in 20.4s
loaded split test: 255 episodes in 22.2s
loaded split test_geometry: 301 episodes in 27.0s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 100 loss 31.3999 active=0.071 d=0.049 p_box=3.283 p_ground=2.736 normal=0.010 cardinality=1.157 uncertainty=1.675 (13s)
step 200 loss 19.6213 active=0.068 d=0.020 p_box=1.514 p_ground=2.205 normal=0.011 cardinality=1.009 uncertainty=1.391 (24s)
step 300 loss 7.3953 active=0.064 d=0.005 p_box=0.144 p_ground=1.214 normal=0.009 cardinality=0.873 uncertainty=0.051 (34s)
step 400 loss 5.2051 active=0.064 d=0.005 p_box=0.060 p_ground=0.884 normal=0.004 cardinality=0.807 uncertainty=-0.382 (45s)
step 500 loss 3.8553 active=0.059 d=0.003 p_box=0.033 p_ground=0.672 normal=0.002 cardinality=0.813 uncertainty=-1.050 (55s)
step 600 loss 3.5643 active=0.057 d=0.003 p_box=0.029 p_ground=0.632 normal=0.001 cardinality=0.728 uncertainty=-1.165 (66s)
step 700 loss 2.7977 active=0.056 d=0.002 p_box=0.008 p_ground=0.526 normal=0.001 cardinality=0.700 uncertainty=-1.736 (77s)
step 800 loss 2.8124 active=0.055 d=0.003 p_box=0.015 p_ground=0.516 normal=0.001 cardinality=0.697 uncertainty=-1.573 (87s)
step 900 loss 2.3644 active=0.053 d=0.002 p_box=0.023 p_ground=0.422 normal=0.001 cardinality=0.681 uncertainty=-1.606 (98s)
step 1000 loss 2.3652 active=0.053 d=0.003 p_box=0.012 p_ground=0.430 normal=0.001 cardinality=0.703 uncertainty=-1.560 (108s)
step 1100 loss 1.7340 active=0.049 d=0.002 p_box=0.009 p_ground=0.338 normal=0.000 cardinality=0.624 uncertainty=-2.086 (119s)
step 1200 loss 1.3954 active=0.048 d=0.001 p_box=0.008 p_ground=0.277 normal=0.000 cardinality=0.644 uncertainty=-2.278 (129s)
step 1300 loss 1.2343 active=0.050 d=0.001 p_box=0.005 p_ground=0.262 normal=0.000 cardinality=0.596 uncertainty=-2.500 (140s)
step 1400 loss 1.6218 active=0.049 d=0.002 p_box=0.011 p_ground=0.309 normal=0.000 cardinality=0.690 uncertainty=-2.134 (150s)
step 1500 loss 1.2666 active=0.052 d=0.001 p_box=0.003 p_ground=0.259 normal=0.000 cardinality=0.684 uncertainty=-2.499 (160s)
step 1600 loss 2.2109 active=0.047 d=0.002 p_box=0.027 p_ground=0.405 normal=0.000 cardinality=0.652 uncertainty=-1.879 (171s)
step 1700 loss 1.6656 active=0.049 d=0.001 p_box=0.018 p_ground=0.306 normal=0.000 cardinality=0.716 uncertainty=-2.067 (181s)
step 1800 loss 2.1928 active=0.051 d=0.002 p_box=0.030 p_ground=0.385 normal=0.001 cardinality=0.708 uncertainty=-1.755 (192s)
step 1900 loss 1.6707 active=0.052 d=0.001 p_box=0.009 p_ground=0.303 normal=0.000 cardinality=0.842 uncertainty=-2.106 (203s)
step 2000 loss 1.1794 active=0.046 d=0.001 p_box=0.008 p_ground=0.243 normal=0.000 cardinality=0.603 uncertainty=-2.373 (213s)
