NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.6s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 100 loss 31.3999 active=0.071 d=0.049 p_box=3.283 p_ground=2.736 normal=0.010 cardinality=1.157 uncertainty=1.675 (10s)
step 200 loss 20.2262 active=0.070 d=0.019 p_box=1.612 p_ground=2.226 normal=0.010 cardinality=1.010 uncertainty=1.429 (15s)
step 300 loss 7.5508 active=0.064 d=0.009 p_box=0.161 p_ground=1.223 normal=0.009 cardinality=0.868 uncertainty=0.061 (21s)
step 400 loss 5.7250 active=0.063 d=0.005 p_box=0.092 p_ground=0.953 normal=0.004 cardinality=0.814 uncertainty=-0.303 (26s)
step 500 loss 4.0641 active=0.059 d=0.003 p_box=0.034 p_ground=0.708 normal=0.003 cardinality=0.795 uncertainty=-0.894 (31s)
step 600 loss 3.9608 active=0.056 d=0.004 p_box=0.036 p_ground=0.692 normal=0.002 cardinality=0.725 uncertainty=-0.876 (36s)
step 700 loss 3.2787 active=0.056 d=0.002 p_box=0.031 p_ground=0.583 normal=0.001 cardinality=0.727 uncertainty=-1.402 (42s)
step 800 loss 2.5838 active=0.053 d=0.002 p_box=0.013 p_ground=0.478 normal=0.001 cardinality=0.722 uncertainty=-1.771 (47s)
step 900 loss 2.6126 active=0.054 d=0.003 p_box=0.008 p_ground=0.497 normal=0.001 cardinality=0.678 uncertainty=-1.867 (52s)
step 1000 loss 2.7848 active=0.056 d=0.003 p_box=0.030 p_ground=0.487 normal=0.001 cardinality=0.743 uncertainty=-1.478 (57s)
step 1100 loss 2.3092 active=0.050 d=0.002 p_box=0.012 p_ground=0.435 normal=0.001 cardinality=0.661 uncertainty=-1.835 (63s)
step 1200 loss 2.1670 active=0.050 d=0.002 p_box=0.020 p_ground=0.386 normal=0.000 cardinality=0.660 uncertainty=-1.501 (68s)
step 1300 loss 2.0239 active=0.052 d=0.001 p_box=0.018 p_ground=0.334 normal=0.000 cardinality=0.635 uncertainty=-0.813 (73s)
step 1400 loss 1.6521 active=0.051 d=0.001 p_box=0.006 p_ground=0.324 normal=0.000 cardinality=0.681 uncertainty=-2.238 (79s)
step 1500 loss 1.4170 active=0.051 d=0.001 p_box=0.004 p_ground=0.284 normal=0.000 cardinality=0.668 uncertainty=-2.332 (84s)
step 1600 loss 1.9105 active=0.049 d=0.002 p_box=0.010 p_ground=0.372 normal=0.000 cardinality=0.637 uncertainty=-2.120 (89s)
step 1700 loss 1.4807 active=0.048 d=0.001 p_box=0.012 p_ground=0.289 normal=0.000 cardinality=0.657 uncertainty=-2.262 (95s)
step 1800 loss 1.9389 active=0.052 d=0.001 p_box=0.036 p_ground=0.306 normal=0.000 cardinality=0.706 uncertainty=-1.156 (100s)
step 1900 loss 1.7662 active=0.052 d=0.001 p_box=0.010 p_ground=0.311 normal=0.000 cardinality=0.680 uncertainty=-1.465 (105s)
step 2000 loss 1.3305 active=0.048 d=0.001 p_box=0.007 p_ground=0.273 normal=0.000 cardinality=0.609 uncertainty=-2.368 (110s)
step 2100 loss 1.7748 active=0.047 d=0.001 p_box=0.017 p_ground=0.315 normal=0.000 cardinality=0.594 uncertainty=-1.424 (116s)
step 2200 loss 2.2416 active=0.048 d=0.001 p_box=0.021 p_ground=0.255 normal=0.000 cardinality=0.586 uncertainty=2.336 (121s)
step 2300 loss 1.3176 active=0.049 d=0.001 p_box=0.003 p_ground=0.274 normal=0.000 cardinality=0.618 uncertainty=-2.412 (127s)
step 2400 loss 1.7330 active=0.045 d=0.001 p_box=0.029 p_ground=0.313 normal=0.000 cardinality=0.601 uncertainty=-1.864 (132s)
step 2500 loss 1.8466 active=0.045 d=0.001 p_box=0.043 p_ground=0.318 normal=0.000 cardinality=0.538 uncertainty=-1.612 (137s)
