NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expD_learned_frozen --steps 30000 --eval-every 10000 --workers 2 --encoder-ckpt runs/expC_patch/final.pt --eval-contact-sources gt,analytic,learned
loaded split train: 1189 episodes in 13.6s
loaded split val: 255 episodes in 2.9s
loaded split test: 255 episodes in 2.9s
loaded split test_geometry: 301 episodes in 3.4s
transition model contact_mode=explicit params=640582
step 100 loss 2.11609 (1-step 2.11609) 4s
step 200 loss 2.07832 (1-step 2.07832) 7s
step 300 loss 2.09495 (1-step 2.09495) 9s
step 400 loss 2.19942 (1-step 2.19942) 11s
step 500 loss 2.97154 (1-step 2.97154) 13s
step 600 loss 2.57847 (1-step 2.57847) 14s
step 700 loss 2.86305 (1-step 2.86305) 17s
step 800 loss 2.10823 (1-step 2.10823) 19s
step 900 loss 1.50180 (1-step 1.50180) 21s
step 1000 loss 2.07168 (1-step 2.07168) 23s
step 1100 loss 2.09583 (1-step 2.09583) 25s
step 1200 loss 1.45070 (1-step 1.45070) 28s
step 1300 loss 1.39303 (1-step 1.39303) 30s
step 1400 loss 1.07929 (1-step 1.07929) 33s
step 1500 loss 1.29250 (1-step 1.29250) 35s
step 1600 loss 2.06805 (1-step 2.06805) 36s
step 1700 loss 2.02600 (1-step 2.02600) 38s
step 1800 loss 1.59795 (1-step 1.59795) 40s
step 1900 loss 1.27914 (1-step 1.27914) 42s
step 2000 loss 1.41421 (1-step 1.41421) 45s
step 2100 loss 1.15640 (1-step 1.15640) 47s
step 2200 loss 1.20905 (1-step 1.20905) 49s
step 2300 loss 1.50070 (1-step 1.50070) 52s
step 2400 loss 0.94885 (1-step 0.94885) 54s
step 2500 loss 0.83039 (1-step 0.83039) 56s
step 2600 loss 0.52557 (1-step 0.52557) 59s
step 2700 loss 0.44328 (1-step 0.44328) 61s
step 2800 loss 0.82068 (1-step 0.82068) 63s
step 2900 loss 0.55615 (1-step 0.55615) 65s
step 3000 loss 0.80135 (1-step 0.80135) 68s
step 3100 loss 0.93014 (1-step 0.93014) 70s
step 3200 loss 0.51978 (1-step 0.51978) 72s
step 3300 loss 0.67834 (1-step 0.67834) 74s
step 3400 loss 0.57142 (1-step 0.57142) 76s
step 3500 loss 0.43626 (1-step 0.43626) 78s
step 3600 loss 0.62736 (1-step 0.62736) 80s
step 3700 loss 0.67450 (1-step 0.67450) 81s
step 3800 loss 0.63433 (1-step 0.63433) 83s
step 3900 loss 0.42336 (1-step 0.42336) 85s
step 4000 loss 0.52505 (1-step 0.52505) 86s
step 4100 loss 0.66132 (1-step 0.66132) 88s
step 4200 loss 0.40955 (1-step 0.40955) 90s
step 4300 loss 0.32005 (1-step 0.32005) 92s
step 4400 loss 0.41229 (1-step 0.41229) 94s
step 4500 loss 0.49527 (1-step 0.49527) 96s
step 4600 loss 0.42635 (1-step 0.42635) 98s
step 4700 loss 0.28481 (1-step 0.28481) 99s
step 4800 loss 0.27514 (1-step 0.27514) 101s
step 4900 loss 0.52516 (1-step 0.52516) 103s
