NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit+latent --train-contact-source learned --encoder-ckpt runs/expC_patch/final.pt --finetune-encoder --rollout-horizon 8 --out runs/expE_joint --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources learned,analytic
loaded split train: 1189 episodes in 7.7s
loaded split val: 255 episodes in 1.6s
loaded split test: 255 episodes in 1.6s
loaded split test_geometry: 301 episodes in 1.9s
transition model contact_mode=explicit+latent params=641606
step 100 loss 8.38404 (1-step 2.61329) 18s
step 200 loss 8.13226 (1-step 2.00742) 33s
step 300 loss 19.72960 (1-step 2.57439) 47s
step 400 loss 11.56523 (1-step 2.29930) 62s
step 500 loss 14.21623 (1-step 3.40629) 76s
step 600 loss 7.94909 (1-step 4.05484) 91s
step 700 loss 7.72820 (1-step 2.65240) 105s
step 800 loss 7.21277 (1-step 3.53101) 120s
step 900 loss 8.17236 (1-step 1.55188) 134s
step 1000 loss 11.45502 (1-step 4.21375) 149s
step 1100 loss 6.38157 (1-step 2.40716) 163s
step 1200 loss 4.49627 (1-step 2.33220) 178s
step 1300 loss 7.14084 (1-step 3.45310) 192s
step 1400 loss 7.01395 (1-step 3.06056) 207s
step 1500 loss 4.09895 (1-step 2.16995) 221s
step 1600 loss 6.26914 (1-step 1.72397) 236s
step 1700 loss 2.41970 (1-step 1.76468) 250s
step 1800 loss 5.23088 (1-step 2.96098) 264s
step 1900 loss 3.35346 (1-step 1.78341) 279s
step 2000 loss 4.52980 (1-step 1.69579) 293s
step 2100 loss 6.95983 (1-step 3.17296) 308s
step 2200 loss 7.94357 (1-step 3.11838) 322s
step 2300 loss 8.06804 (1-step 3.29290) 337s
step 2400 loss 5.30514 (1-step 1.81175) 351s
step 2500 loss 6.88081 (1-step 2.34521) 366s
step 2600 loss 3.86434 (1-step 2.11444) 380s
step 2700 loss 4.19070 (1-step 1.51458) 395s
step 2800 loss 7.26477 (1-step 2.16105) 409s
step 2900 loss 4.03195 (1-step 2.26045) 423s
step 3000 loss 5.76953 (1-step 2.09847) 438s
step 3100 loss 10.98956 (1-step 2.29393) 453s
step 3200 loss 5.01593 (1-step 1.94681) 467s
step 3300 loss 5.16217 (1-step 1.31393) 482s
step 3400 loss 3.04454 (1-step 1.71454) 496s
step 3500 loss 6.70574 (1-step 2.32113) 510s
step 3600 loss 4.53520 (1-step 1.68906) 525s
step 3700 loss 5.84521 (1-step 1.64254) 539s
step 3800 loss 3.41016 (1-step 1.58396) 554s
step 3900 loss 4.57786 (1-step 1.76171) 568s
step 4000 loss 3.25486 (1-step 1.52412) 583s
step 4100 loss 3.95737 (1-step 2.30410) 597s
step 4200 loss 3.77479 (1-step 1.43481) 612s
step 4300 loss 3.52977 (1-step 1.68293) 626s
step 4400 loss 6.28953 (1-step 1.81620) 640s
step 4500 loss 3.96257 (1-step 1.60832) 655s
step 4600 loss 3.83716 (1-step 2.25138) 669s
step 4700 loss 5.36132 (1-step 2.98165) 684s
step 4800 loss 2.43526 (1-step 1.79621) 698s
step 4900 loss 7.22433 (1-step 2.63622) 713s
step 5000 loss 8.92781 (1-step 2.36205) 727s
step 5100 loss 3.09868 (1-step 1.54772) 742s
step 5200 loss 6.79248 (1-step 3.15047) 756s
step 5300 loss 6.02799 (1-step 1.65104) 770s
step 5400 loss 6.80413 (1-step 1.96005) 785s
step 5500 loss 6.64122 (1-step 2.50196) 799s
step 5600 loss 6.39544 (1-step 1.73374) 814s
step 5700 loss 4.63972 (1-step 1.69515) 828s
step 5800 loss 2.99574 (1-step 1.69711) 843s
step 5900 loss 3.68635 (1-step 1.57784) 857s
step 6000 loss 4.15843 (1-step 1.05522) 872s
step 6100 loss 4.48776 (1-step 1.78604) 886s
step 6200 loss 5.20765 (1-step 1.84905) 900s
step 6300 loss 4.38691 (1-step 2.65319) 915s
step 6400 loss 7.16441 (1-step 1.52952) 929s
step 6500 loss 6.64885 (1-step 1.25132) 944s
step 6600 loss 4.94649 (1-step 2.01032) 958s
step 6700 loss 3.59645 (1-step 1.87667) 973s
step 6800 loss 3.73081 (1-step 2.11381) 987s
step 6900 loss 3.52147 (1-step 2.08094) 1001s
step 7000 loss 3.90461 (1-step 1.47903) 1016s
step 7100 loss 2.96944 (1-step 1.63144) 1030s
step 7200 loss 6.48577 (1-step 2.00630) 1045s
step 7300 loss 2.91645 (1-step 1.70027) 1059s
step 7400 loss 4.18199 (1-step 1.52429) 1074s
step 7500 loss 9.46716 (1-step 3.66718) 1088s
step 7600 loss 1.58606 (1-step 0.80062) 1103s
step 7700 loss 5.44674 (1-step 1.39474) 1117s
step 7800 loss 5.84428 (1-step 1.82612) 1131s
step 7900 loss 3.69819 (1-step 1.69007) 1146s
step 8000 loss 4.97645 (1-step 1.85773) 1160s
step 8100 loss 3.33160 (1-step 1.68377) 1174s
step 8200 loss 4.44879 (1-step 1.95024) 1189s
step 8300 loss 4.53119 (1-step 3.19750) 1203s
step 8400 loss 5.28277 (1-step 1.34166) 1217s
step 8500 loss 3.38765 (1-step 1.37319) 1232s
step 8600 loss 2.27073 (1-step 1.33358) 1246s
step 8700 loss 4.07935 (1-step 1.78331) 1261s
step 8800 loss 4.96699 (1-step 1.68968) 1275s
step 8900 loss 4.19055 (1-step 1.64712) 1289s
step 9000 loss 3.50414 (1-step 1.96456) 1304s
step 9100 loss 3.33017 (1-step 1.69209) 1318s
step 9200 loss 3.18693 (1-step 1.88841) 1333s
step 9300 loss 3.06517 (1-step 1.41876) 1347s
step 9400 loss 3.64484 (1-step 1.65995) 1361s
step 9500 loss 3.90955 (1-step 1.63831) 1376s
step 9600 loss 4.73025 (1-step 1.15430) 1390s
step 9700 loss 5.05365 (1-step 2.53371) 1404s
step 9800 loss 4.00003 (1-step 1.18687) 1419s
step 9900 loss 2.49287 (1-step 1.14525) 1433s
step 10000 loss 3.63635 (1-step 1.70975) 1448s
  [val one-step] dv_err_mean=0.00821 dw_err_mean=0.1364 dv_err_far_free=0.0008894 dw_err_far_free=0.005752 dv_err_near_contact=0.001013 dw_err_near_contact=0.02621 dv_err_first_impact=0.4931 dw_err_first_impact=4.36 dv_err_contact=0.009725 dw_err_contact=0.1773 dv_err_rebound_repeat=0.07023 dw_err_rebound_repeat=1.448 dv_err_resting=0.003906 dw_err_resting=0.1044
step 10100 loss 2.35868 (1-step 1.25283) 1462s
step 10200 loss 2.91394 (1-step 1.24124) 1477s
step 10300 loss 3.14553 (1-step 1.56933) 1491s
step 10400 loss 2.48086 (1-step 1.16804) 1506s
step 10500 loss 6.19860 (1-step 4.04677) 1520s
step 10600 loss 3.73516 (1-step 0.89658) 1534s
step 10700 loss 3.25919 (1-step 1.56285) 1549s
step 10800 loss 3.22791 (1-step 1.41057) 1563s
step 10900 loss 2.42280 (1-step 1.30474) 1578s
step 11000 loss 1.97826 (1-step 0.95174) 1592s
step 11100 loss 3.13561 (1-step 1.59795) 1606s
step 11200 loss 1.85591 (1-step 0.85219) 1621s
step 11300 loss 5.90994 (1-step 1.69464) 1635s
step 11400 loss 2.49212 (1-step 1.51851) 1649s
step 11500 loss 3.27611 (1-step 1.24572) 1664s
step 11600 loss 4.21988 (1-step 1.53631) 1678s
step 11700 loss 1.90628 (1-step 0.88607) 1692s
step 11800 loss 2.80308 (1-step 1.46073) 1707s
step 11900 loss 5.14488 (1-step 2.06574) 1721s
step 12000 loss 3.18159 (1-step 1.54713) 1736s
step 12100 loss 2.34843 (1-step 1.13820) 1750s
step 12200 loss 3.05332 (1-step 1.09672) 1764s
step 12300 loss 1.80420 (1-step 0.89340) 1779s
step 12400 loss 6.13540 (1-step 1.56030) 1793s
step 12500 loss 2.64991 (1-step 0.95331) 1807s
step 12600 loss 2.16005 (1-step 0.79260) 1822s
step 12700 loss 3.41210 (1-step 1.29443) 1836s
step 12800 loss 2.16401 (1-step 1.03040) 1850s
step 12900 loss 3.40747 (1-step 1.63844) 1864s
step 13000 loss 2.27271 (1-step 1.09916) 1879s
step 13100 loss 3.18941 (1-step 1.39213) 1893s
step 13200 loss 1.99179 (1-step 0.71322) 1907s
step 13300 loss 2.08556 (1-step 1.25202) 1921s
step 13400 loss 2.14673 (1-step 0.92102) 1935s
step 13500 loss 1.93559 (1-step 0.87803) 1949s
step 13600 loss 1.75014 (1-step 0.54230) 1964s
step 13700 loss 2.78764 (1-step 1.37362) 1978s
step 13800 loss 3.00244 (1-step 1.25815) 1992s
step 13900 loss 3.33592 (1-step 0.76340) 2006s
step 14000 loss 2.95770 (1-step 1.31321) 2020s
step 14100 loss 2.46665 (1-step 0.94359) 2034s
step 14200 loss 2.80388 (1-step 1.26888) 2049s
step 14300 loss 1.68948 (1-step 0.80681) 2063s
step 14400 loss 1.67499 (1-step 0.84116) 2077s
step 14500 loss 1.81308 (1-step 1.06974) 2091s
step 14600 loss 1.31375 (1-step 0.68336) 2105s
step 14700 loss 1.06749 (1-step 0.50807) 2119s
step 14800 loss 1.52813 (1-step 0.86731) 2133s
step 14900 loss 0.98247 (1-step 0.48701) 2148s
step 15000 loss 2.48176 (1-step 0.86120) 2162s
step 15100 loss 1.15213 (1-step 0.54587) 2176s
step 15200 loss 1.52090 (1-step 0.91530) 2190s
step 15300 loss 1.10661 (1-step 0.55218) 2204s
step 15400 loss 2.62345 (1-step 1.03050) 2219s
step 15500 loss 1.59935 (1-step 0.64080) 2233s
step 15600 loss 3.33067 (1-step 1.26018) 2247s
step 15700 loss 1.43076 (1-step 0.45745) 2261s
step 15800 loss 1.29643 (1-step 0.60613) 2275s
step 15900 loss 1.16330 (1-step 0.59769) 2289s
step 16000 loss 2.46699 (1-step 0.79029) 2303s
step 16100 loss 1.31472 (1-step 0.76240) 2317s
step 16200 loss 1.49191 (1-step 0.53023) 2332s
step 16300 loss 1.49529 (1-step 0.68075) 2346s
step 16400 loss 5.37789 (1-step 2.03888) 2360s
step 16500 loss 1.58738 (1-step 0.72149) 2374s
step 16600 loss 3.02837 (1-step 1.50128) 2388s
step 16700 loss 1.38927 (1-step 0.71162) 2402s
step 16800 loss 1.80715 (1-step 0.66262) 2417s
step 16900 loss 1.87299 (1-step 0.76360) 2431s
step 17000 loss 1.68898 (1-step 0.79989) 2445s
step 17100 loss 1.97939 (1-step 0.74002) 2459s
step 17200 loss 1.59254 (1-step 0.69111) 2473s
step 17300 loss 1.10053 (1-step 0.37374) 2487s
step 17400 loss 2.47860 (1-step 0.63092) 2502s
step 17500 loss 1.62998 (1-step 0.55285) 2516s
step 17600 loss 1.99556 (1-step 0.85755) 2530s
step 17700 loss 2.04595 (1-step 0.78338) 2544s
step 17800 loss 1.75721 (1-step 0.63647) 2558s
step 17900 loss 1.65021 (1-step 0.52992) 2572s
step 18000 loss 1.38274 (1-step 0.51276) 2586s
step 18100 loss 1.14769 (1-step 0.52977) 2601s
step 18200 loss 1.74617 (1-step 0.56540) 2615s
step 18300 loss 1.36354 (1-step 0.48388) 2629s
step 18400 loss 1.47397 (1-step 0.52618) 2643s
step 18500 loss 0.94205 (1-step 0.47819) 2657s
step 18600 loss 1.06086 (1-step 0.46753) 2671s
step 18700 loss 1.27479 (1-step 0.42060) 2685s
step 18800 loss 1.63897 (1-step 0.56913) 2700s
step 18900 loss 2.09897 (1-step 0.85756) 2714s
step 19000 loss 1.00370 (1-step 0.40086) 2728s
step 19100 loss 1.27760 (1-step 0.32994) 2742s
step 19200 loss 0.97237 (1-step 0.41919) 2756s
step 19300 loss 1.25405 (1-step 0.48130) 2770s
step 19400 loss 0.92219 (1-step 0.44074) 2785s
step 19500 loss 1.44295 (1-step 0.53321) 2799s
step 19600 loss 1.27777 (1-step 0.72296) 2813s
step 19700 loss 0.70719 (1-step 0.30560) 2827s
step 19800 loss 1.25025 (1-step 0.55342) 2841s
step 19900 loss 0.95202 (1-step 0.39734) 2855s
step 20000 loss 0.67524 (1-step 0.38639) 2869s
  [val one-step] dv_err_mean=0.007518 dw_err_mean=0.1278 dv_err_far_free=0.0012 dw_err_far_free=0.006316 dv_err_near_contact=0.003782 dw_err_near_contact=0.04456 dv_err_first_impact=0.289 dw_err_first_impact=3.559 dv_err_contact=0.009224 dw_err_contact=0.1676 dv_err_rebound_repeat=0.06628 dw_err_rebound_repeat=1.28 dv_err_resting=0.003548 dw_err_resting=0.1032
step 20100 loss 1.26852 (1-step 0.47716) 2884s
step 20200 loss 0.94493 (1-step 0.31796) 2898s
step 20300 loss 0.92647 (1-step 0.46159) 2912s
step 20400 loss 1.32894 (1-step 0.59600) 2926s
step 20500 loss 0.73638 (1-step 0.43004) 2940s
step 20600 loss 0.86057 (1-step 0.40737) 2954s
step 20700 loss 1.26173 (1-step 0.44817) 2968s
step 20800 loss 1.54135 (1-step 0.48970) 2981s
step 20900 loss 0.66166 (1-step 0.38382) 2996s
step 21000 loss 1.16889 (1-step 0.39048) 3009s
step 21100 loss 1.20377 (1-step 0.43015) 3023s
step 21200 loss 0.70185 (1-step 0.28566) 3037s
step 21300 loss 1.52995 (1-step 0.68934) 3051s
step 21400 loss 1.73506 (1-step 0.64151) 3065s
step 21500 loss 1.16736 (1-step 0.34808) 3080s
step 21600 loss 0.83493 (1-step 0.36575) 3094s
step 21700 loss 0.99147 (1-step 0.29366) 3108s
step 21800 loss 0.66747 (1-step 0.37362) 3122s
step 21900 loss 0.82516 (1-step 0.29304) 3136s
step 22000 loss 0.83752 (1-step 0.42579) 3150s
step 22100 loss 1.09824 (1-step 0.30447) 3164s
step 22200 loss 0.92782 (1-step 0.38303) 3178s
step 22300 loss 0.94995 (1-step 0.46053) 3193s
step 22400 loss 0.95816 (1-step 0.40787) 3207s
step 22500 loss 0.73072 (1-step 0.21231) 3221s
step 22600 loss 0.84831 (1-step 0.29177) 3234s
step 22700 loss 0.90843 (1-step 0.45412) 3248s
step 22800 loss 0.66964 (1-step 0.35620) 3261s
step 22900 loss 0.87627 (1-step 0.40495) 3275s
step 23000 loss 0.71618 (1-step 0.28434) 3289s
step 23100 loss 0.55533 (1-step 0.30963) 3302s
step 23200 loss 0.66893 (1-step 0.25972) 3316s
step 23300 loss 0.88266 (1-step 0.38264) 3330s
step 23400 loss 0.50919 (1-step 0.28335) 3343s
step 23500 loss 0.49693 (1-step 0.23584) 3357s
step 23600 loss 1.05161 (1-step 0.36110) 3370s
step 23700 loss 0.90319 (1-step 0.34241) 3384s
step 23800 loss 0.57096 (1-step 0.19499) 3397s
step 23900 loss 0.55390 (1-step 0.29869) 3411s
step 24000 loss 0.42967 (1-step 0.19776) 3425s
step 24100 loss 0.53517 (1-step 0.23492) 3438s
step 24200 loss 0.66682 (1-step 0.32427) 3452s
step 24300 loss 0.62022 (1-step 0.27155) 3465s
step 24400 loss 0.48291 (1-step 0.25014) 3479s
step 24500 loss 0.68613 (1-step 0.34173) 3493s
step 24600 loss 0.62960 (1-step 0.20221) 3506s
step 24700 loss 0.67088 (1-step 0.17182) 3520s
step 24800 loss 0.58875 (1-step 0.25452) 3533s
step 24900 loss 0.43994 (1-step 0.19694) 3547s
step 25000 loss 0.73640 (1-step 0.24219) 3561s
step 25100 loss 0.62418 (1-step 0.33778) 3574s
step 25200 loss 0.61940 (1-step 0.21613) 3588s
step 25300 loss 0.64676 (1-step 0.30402) 3601s
step 25400 loss 0.45153 (1-step 0.20732) 3615s
step 25500 loss 0.65300 (1-step 0.27340) 3629s
step 25600 loss 0.71694 (1-step 0.35887) 3642s
step 25700 loss 0.40668 (1-step 0.20563) 3656s
step 25800 loss 0.46547 (1-step 0.18512) 3669s
step 25900 loss 0.39502 (1-step 0.17437) 3683s
step 26000 loss 0.72222 (1-step 0.19306) 3697s
step 26100 loss 0.39446 (1-step 0.16031) 3710s
step 26200 loss 0.79756 (1-step 0.30884) 3724s
step 26300 loss 0.53614 (1-step 0.26950) 3737s
step 26400 loss 0.47507 (1-step 0.18400) 3751s
step 26500 loss 0.51984 (1-step 0.28747) 3764s
step 26600 loss 0.43448 (1-step 0.16991) 3778s
step 26700 loss 0.57796 (1-step 0.29490) 3792s
step 26800 loss 0.68908 (1-step 0.25582) 3805s
step 26900 loss 0.49165 (1-step 0.24506) 3819s
step 27000 loss 0.47181 (1-step 0.19553) 3833s
step 27100 loss 0.44973 (1-step 0.17723) 3846s
step 27200 loss 0.45523 (1-step 0.20192) 3860s
step 27300 loss 0.59343 (1-step 0.25048) 3873s
step 27400 loss 0.48383 (1-step 0.24147) 3887s
step 27500 loss 0.51400 (1-step 0.20725) 3901s
step 27600 loss 0.52306 (1-step 0.22978) 3914s
step 27700 loss 0.54772 (1-step 0.24058) 3928s
step 27800 loss 0.36132 (1-step 0.18588) 3941s
step 27900 loss 0.44725 (1-step 0.18681) 3955s
step 28000 loss 0.40743 (1-step 0.16931) 3969s
step 28100 loss 0.41764 (1-step 0.17468) 3982s
step 28200 loss 0.47392 (1-step 0.21995) 3996s
step 28300 loss 0.50004 (1-step 0.25509) 4009s
step 28400 loss 0.83442 (1-step 0.31718) 4023s
step 28500 loss 0.55705 (1-step 0.17995) 4037s
step 28600 loss 0.43061 (1-step 0.13094) 4050s
step 28700 loss 0.59627 (1-step 0.24785) 4064s
step 28800 loss 0.56347 (1-step 0.24624) 4077s
step 28900 loss 0.40693 (1-step 0.12241) 4091s
step 29000 loss 0.59540 (1-step 0.19034) 4105s
step 29100 loss 0.41425 (1-step 0.19138) 4118s
step 29200 loss 0.37976 (1-step 0.15959) 4132s
step 29300 loss 0.56547 (1-step 0.23389) 4145s
step 29400 loss 0.68043 (1-step 0.26158) 4159s
step 29500 loss 0.49753 (1-step 0.17056) 4172s
step 29600 loss 0.50725 (1-step 0.19129) 4186s
step 29700 loss 0.39513 (1-step 0.17136) 4200s
step 29800 loss 0.48600 (1-step 0.19383) 4213s
step 29900 loss 0.54518 (1-step 0.16563) 4227s
step 30000 loss 0.41761 (1-step 0.19369) 4240s
  [val one-step] dv_err_mean=0.00661 dw_err_mean=0.1225 dv_err_far_free=0.0007075 dw_err_far_free=0.00652 dv_err_near_contact=0.00228 dw_err_near_contact=0.03896 dv_err_first_impact=0.2932 dw_err_first_impact=3.648 dv_err_contact=0.008561 dw_err_contact=0.1631 dv_err_rebound_repeat=0.05494 dw_err_rebound_repeat=1.151 dv_err_resting=0.003286 dw_err_resting=0.1023
[rollout val/learned] pos_err@100=8.463e-05 pos_err@500=0.04388 pos_err_final=0.1195 rot_err_deg_final=91.77 v_err_mean=0.2685 w_err_mean=2.858 impact_dv_err=0.5885 impact_dw_err=7.966 apex_err=0.0119 max_penetration_pred=0.002465 artificial_energy_max=0
[rollout val/analytic] pos_err@100=9.686e-08 pos_err@500=0.5658 pos_err_final=5.084 rot_err_deg_final=142.7 v_err_mean=5.031 w_err_mean=22.5 impact_dv_err=3.641 impact_dw_err=18.31 apex_err=0.01418 max_penetration_pred=5.099 artificial_energy_max=38.63
[rollout test/learned] pos_err@100=7.039e-05 pos_err@500=0.05559 pos_err_final=0.1648 rot_err_deg_final=90.48 v_err_mean=0.312 w_err_mean=2.809 impact_dv_err=0.5268 impact_dw_err=5.959 apex_err=0.0142 max_penetration_pred=0.002501 artificial_energy_max=0.001653
[rollout test/analytic] pos_err@100=1.192e-07 pos_err@500=0.7862 pos_err_final=5.515 rot_err_deg_final=129.4 v_err_mean=4.851 w_err_mean=23.61 impact_dv_err=3.576 impact_dw_err=15.13 apex_err=0.01246 max_penetration_pred=5.467 artificial_energy_max=53.09
[rollout test_geometry/learned] pos_err@100=6.482e-05 pos_err@500=0.05613 pos_err_final=0.1303 rot_err_deg_final=92.11 v_err_mean=0.2614 w_err_mean=2.953 impact_dv_err=0.4534 impact_dw_err=7.181 apex_err=0.01536 max_penetration_pred=0.001705 artificial_energy_max=0.0007976
[rollout test_geometry/analytic] pos_err@100=1.192e-07 pos_err@500=0.7531 pos_err_final=4.779 rot_err_deg_final=130.6 v_err_mean=4.839 w_err_mean=20.75 impact_dv_err=3.766 impact_dw_err=20.18 apex_err=0.01626 max_penetration_pred=4.777 artificial_energy_max=21.2
TRAIN_DONE
