
### Contact encoders (Experiment C)

| run | split | frame_recall | frame_precision | slot_recall | d_mae | point_err_median_pct_min_dim | normal_deg_median | cardinality_acc | ece | first_impact_err_steps_median | first_impact_err_steps_p99 | first_impact_missed |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| expC_analytic | val | 0.9914 | 1 | 0.9934 | 0.0001187 | 0 | 0 | 0.9914 | 0.01449 | 0 | 1 | 0 |
| expC_analytic | test | 0.9904 | 1 | 0.9917 | 0.0001527 | 0 | 0 | 0.9897 | 0.01446 | 0 | 1 | 0 |
| expC_analytic | test_geometry | 0.9901 | 1 | 0.9919 | 0.0001276 | 0 | 0 | 0.9892 | 0.01494 | 0 | 1 | 0 |
| expC_patch | val | 0.8616 | 0.9697 | 0.9174 | 0.0008696 | 0.006748 | 0.4429 | 0.8984 | 0.1017 | 3 | 498.7 | 0 |
| expC_patch | test | 0.8095 | 0.9617 | 0.8883 | 0.0009965 | 0.005983 | 0.3937 | 0.8811 | 0.0955 | 3 | 417 | 0 |
| expC_patch | test_geometry | 0.8765 | 0.9681 | 0.9254 | 0.0009105 | 0.008665 | 0.3973 | 0.8966 | 0.1061 | 1 | 402.9 | 0 |
| expC_patch_30k | val | 0.974 | 0.9786 | 0.9805 | 0.0004164 | 0.0002287 | 0 | 0.964 | 0.05912 | 0 | 253.5 | 0 |
| expC_patch_30k | test | 0.9585 | 0.9808 | 0.9668 | 0.0005201 | 0.0001908 | 0 | 0.9606 | 0.05769 | 0 | 29 | 0 |
| expC_patch_30k | test_geometry | 0.9713 | 0.9837 | 0.9742 | 0.0004263 | 0.0002076 | 0 | 0.9682 | 0.05871 | 0 | 57.74 | 0 |
| expC_point | val | 0.8217 | 0.9586 | 0.8948 | 0.0006492 | 0.007806 | 0.24 | 0.8578 | 0.1476 | 96 | 868.4 | 0 |
| expC_point | test | 0.7757 | 0.9634 | 0.8754 | 0.000789 | 0.005056 | 0.2349 | 0.8387 | 0.1409 | 102.5 | 595 | 0 |
| expC_point | test_geometry | 0.8289 | 0.9685 | 0.903 | 0.0006544 | 0.007886 | 0.2342 | 0.8501 | 0.1568 | 35.5 | 629.8 | 0 |
| expC_point_30k | val | 0.9919 | 0.9954 | 0.9915 | 0.0003732 | 0.0001026 | 0 | 0.9816 | 0.04662 | 0 | 1 | 0 |
| expC_point_30k | test | 0.9917 | 0.9959 | 0.9899 | 0.0004787 | 8.028e-05 | 0 | 0.9776 | 0.0454 | 0 | 1 | 0 |
| expC_point_30k | test_geometry | 0.9896 | 0.9948 | 0.9882 | 0.0003988 | 4.819e-05 | 0 | 0.9787 | 0.0465 | 0 | 1 | 0 |

### Transition one-step errors (m/s, rad/s)

| run | split | dv_err_mean | dv_err_far_free | dv_err_near_contact | dv_err_first_impact | dw_err_first_impact | dv_err_rebound_repeat | dv_err_resting |
|---|---|---|---|---|---|---|---|---|
| expA_pilot_state_only | val | 0.01926 | 0.003284 | 0.03903 | 0.6907 | 7.371 | 0.2087 | 0.004389 |
| expA_pilot_state_only | test | 0.01914 | 0.002582 | 0.0527 | 0.6847 | 6.964 | 0.1334 | 0.004526 |
| expA_pilot_state_only | test_geometry | 0.0162 | 0.002277 | 0.03471 | 0.7302 | 8.94 | 0.1304 | 0.005293 |
| expA_state_only | val | 0.01403 | 0.0006733 | 0.01945 | 0.6515 | 5.439 | 0.1406 | 0.004023 |
| expA_state_only | test | 0.01389 | 0.0006895 | 0.01797 | 0.6734 | 4.79 | 0.1292 | 0.004251 |
| expB_oracle_explicit | val | 0.004703 | 3.793e-08 | 1.444e-08 | 0.2565 | 2.521 | 0.05063 | 0.001897 |
| expB_oracle_explicit | test | 0.004767 | 3.791e-08 | 1.489e-08 | 0.2432 | 2.278 | 0.05295 | 0.002054 |
| expB_pilot_oracle_explicit | val | 0.005024 | 3.737e-08 | 1.692e-08 | 0.2944 | 3.98 | 0.04271 | 0.003119 |
| expB_pilot_oracle_explicit | test | 0.0055 | 3.741e-08 | 1.644e-08 | 0.288 | 4.046 | 0.0493 | 0.003097 |
| expB_pilot_oracle_explicit | test_geometry | 0.005153 | 3.794e-08 | 1.686e-08 | 0.2368 | 4.257 | 0.04836 | 0.003638 |
| expD_learned_frozen | val | 0.004906 | 3.737e-08 | 1.692e-08 | 0.2892 | 3.92 | 0.04293 | 0.003226 |
| expD_learned_frozen | test | 0.005264 | 3.741e-08 | 1.644e-08 | 0.2936 | 4.191 | 0.04409 | 0.003086 |
| expD_learned_frozen | test_geometry | 0.004995 | 3.794e-08 | 1.686e-08 | 0.2284 | 4.139 | 0.04274 | 0.003519 |
| expD_r2_eval_patch_hardgate | val | 0.004986 | 3.737e-08 | 1.692e-08 | 0.294 | 4.176 | 0.04302 | 0.003021 |
| expD_r2_eval_patch_hardgate | test | 0.005406 | 3.741e-08 | 1.644e-08 | 0.2848 | 4.021 | 0.04611 | 0.003004 |
| expD_r2_eval_patch_hardgate | test_geometry | 0.005161 | 3.794e-08 | 1.686e-08 | 0.2363 | 4.144 | 0.04715 | 0.003594 |
| expD_r2_eval_point_hardgate | val | 0.00489 | 3.737e-08 | 1.692e-08 | 0.2866 | 4.006 | 0.04365 | 0.003107 |
| expD_r2_eval_point_hardgate | test | 0.005251 | 3.741e-08 | 1.644e-08 | 0.295 | 4.151 | 0.04573 | 0.002911 |
| expD_r2_eval_point_hardgate | test_geometry | 0.005045 | 3.794e-08 | 1.686e-08 | 0.23 | 4.144 | 0.04692 | 0.00342 |
| expD_r2_learned_frozen | val | 0.004986 | 3.737e-08 | 1.692e-08 | 0.294 | 4.176 | 0.04302 | 0.003021 |
| expD_r2_learned_frozen | test | 0.005406 | 3.741e-08 | 1.644e-08 | 0.2848 | 4.021 | 0.04611 | 0.003004 |
| expD_r2_learned_frozen | test_geometry | 0.005161 | 3.794e-08 | 1.686e-08 | 0.2363 | 4.144 | 0.04715 | 0.003594 |
| expD_r2_learned_frozen_point | val | 0.00489 | 3.737e-08 | 1.692e-08 | 0.2866 | 4.006 | 0.04365 | 0.003107 |
| expD_r2_learned_frozen_point | test | 0.005251 | 3.741e-08 | 1.644e-08 | 0.295 | 4.151 | 0.04573 | 0.002911 |
| expD_r2_learned_frozen_point | test_geometry | 0.005045 | 3.794e-08 | 1.686e-08 | 0.23 | 4.144 | 0.04692 | 0.00342 |
| expE_joint | val | 0.00661 | 0.0007075 | 0.00228 | 0.2932 | 3.648 | 0.05494 | 0.003286 |
| expE_joint | test | 0.006692 | 0.0006335 | 0.00214 | 0.2126 | 2.799 | 0.06275 | 0.003426 |
| expE_joint | test_geometry | 0.006457 | 0.0005187 | 0.00237 | 0.2387 | 3.751 | 0.05772 | 0.003778 |
| expE_r2_joint_patch | val | 0.009628 | 3.633e-08 | 0.002969 | 0.3219 | 3.669 | 0.06719 | 0.008501 |
| expE_r2_joint_patch | test | 0.01037 | 3.646e-08 | 0.003482 | 0.3394 | 3.434 | 0.07569 | 0.008187 |
| expE_r2_joint_patch | test_geometry | 0.01032 | 3.707e-08 | 0.003589 | 0.2988 | 3.885 | 0.0705 | 0.009363 |
| expE_r2_joint_point | val | 0.007005 | 0.0004311 | 0.0008018 | 0.2847 | 3.626 | 0.0597 | 0.003567 |
| expE_r2_joint_point | test | 0.007314 | 0.0003741 | 0.001203 | 0.2968 | 3.287 | 0.05995 | 0.003847 |
| expE_r2_joint_point | test_geometry | 0.006911 | 0.0003917 | 0.001658 | 0.2408 | 4.316 | 0.05563 | 0.004115 |

### Closed-loop rollouts (median over episodes)

| run | split/source | pos_err@100 | pos_err@500 | pos_err_final | rot_err_deg_final | v_err_mean | w_err_mean | impact_dv_err | impact_dw_err | apex_err | apex_time_err_steps | max_penetration_pred | artificial_energy_max |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| expA_pilot_state_only | val/gt | 0.003645 | 0.1135 | 0.3134 | 128.4 | 0.5171 | 5.291 | 3.224 | 18.51 | 0.05165 | 92.5 | 0.07325 | 0 |
| expA_pilot_state_only | test/gt | 0.006246 | 0.1149 | 0.3384 | 114.8 | 0.5567 | 4.696 | 3.335 | 15.96 | 0.05319 | 81 | 0.07123 | 0 |
| expA_pilot_state_only | test_geometry/gt | 0.00517 | 0.1201 | 0.2595 | 110.7 | 0.4779 | 4.623 | 3.343 | 20.62 | 0.04833 | 98.5 | 0.0554 | 0 |
| expA_state_only | val/gt | 0.002416 | 0.1222 | 0.3494 | 109.4 | 0.4931 | 4.51 | 3.178 | 15.46 | 0.01417 | 81.5 | 0.04875 | 0.09192 |
| expA_state_only | test/gt | 0.002378 | 0.09708 | 0.3362 | 114.4 | 0.5077 | 4.388 | 3.414 | 16.26 | 0.0218 | 92.5 | 0.05209 | 0.242 |
| expB_oracle_explicit | val/gt | 8.941e-08 | 0.06919 | 0.3533 | 157.8 | 0.433 | 4.147 | 0.5324 | 5.775 | 0.01496 | 42.5 | 0.2985 | 0 |
| expB_oracle_explicit | val/analytic | 8.941e-08 | 0.06476 | 0.1845 | 93.4 | 0.2695 | 2.652 | 0.6316 | 5.738 | 0.01536 | 40.5 | 0.01137 | 0 |
| expB_oracle_explicit | test/gt | 1.192e-07 | 0.07719 | 0.4078 | 153.7 | 0.4625 | 4.475 | 0.5995 | 5.275 | 0.01743 | 50.5 | 0.3571 | 0 |
| expB_oracle_explicit | test/analytic | 1.192e-07 | 0.05494 | 0.1612 | 92.86 | 0.2526 | 2.767 | 0.6228 | 5.154 | 0.0151 | 50 | 0.01202 | 0 |
| expB_pilot_oracle_explicit | val/gt | 9.686e-08 | 0.07301 | 0.2998 | 163.2 | 0.3796 | 5.507 | 0.5264 | 8.561 | 0.01794 | 42.5 | 0.2731 | 0 |
| expB_pilot_oracle_explicit | val/analytic | 9.686e-08 | 0.04145 | 0.1423 | 94.34 | 0.2396 | 3.044 | 0.4888 | 8.598 | 0.01212 | 39 | 0.009864 | 0 |
| expB_pilot_oracle_explicit | test/gt | 1.192e-07 | 0.0571 | 0.2785 | 162.3 | 0.3702 | 4.735 | 0.4346 | 7.733 | 0.01826 | 40.5 | 0.2903 | 0 |
| expB_pilot_oracle_explicit | test/analytic | 1.192e-07 | 0.04559 | 0.1313 | 86.92 | 0.2685 | 2.804 | 0.4494 | 6.955 | 0.01007 | 29 | 0.01033 | 0 |
| expB_pilot_oracle_explicit | test_geometry/gt | 1.192e-07 | 0.06115 | 0.2339 | 157.2 | 0.307 | 4.759 | 0.4547 | 8.159 | 0.01473 | 46.5 | 0.1824 | 0 |
| expB_pilot_oracle_explicit | test_geometry/analytic | 1.192e-07 | 0.05179 | 0.1237 | 90.13 | 0.2303 | 2.897 | 0.4456 | 8.385 | 0.01633 | 43 | 0.008344 | 0 |
| expD_learned_frozen | val/gt | 9.686e-08 | 0.08061 | 0.347 | 158.2 | 0.4433 | 5.217 | 0.5641 | 6.207 | 0.01494 | 45 | 0.2301 | 0 |
| expD_learned_frozen | val/analytic | 9.686e-08 | 0.05125 | 0.1571 | 93.24 | 0.2405 | 3.053 | 0.5479 | 6.703 | 0.009881 | 34 | 0.01017 | 0 |
| expD_learned_frozen | val/learned | 0.01196 | 0.1811 | 0.2911 | 130.2 | 0.758 | 3.991 | 3.58 | 18.3 | 0.2021 | 103 | 0.03069 | 0 |
| expD_learned_frozen | test/gt | 1.192e-07 | 0.07156 | 0.2749 | 165.4 | 0.384 | 4.429 | 0.5549 | 6.437 | 0.009814 | 23 | 0.2513 | 0 |
| expD_learned_frozen | test/analytic | 1.192e-07 | 0.03943 | 0.1763 | 89.96 | 0.2458 | 2.792 | 0.5063 | 6.346 | 0.009861 | 42.5 | 0.009319 | 0 |
| expD_learned_frozen | test/learned | 0.01382 | 0.1749 | 0.3163 | 97.48 | 0.7176 | 3.88 | 3.542 | 15.39 | 0.2053 | 106.5 | 0.02696 | 0 |
| expD_learned_frozen | test_geometry/gt | 1.192e-07 | 0.07532 | 0.2654 | 159.9 | 0.3662 | 4.822 | 0.527 | 8.66 | 0.01524 | 64.5 | 0.2303 | 0 |
| expD_learned_frozen | test_geometry/analytic | 1.192e-07 | 0.05628 | 0.1374 | 88.77 | 0.2353 | 2.974 | 0.5465 | 8.079 | 0.01322 | 47 | 0.009229 | 0 |
| expD_learned_frozen | test_geometry/learned | 0.01079 | 0.1664 | 0.2421 | 107.3 | 0.7256 | 3.822 | 3.7 | 20.32 | 0.2285 | 98.5 | 0.02239 | 0 |
| expD_r2_eval_patch_hardgate | val/analytic | 9.686e-08 | 0.0356 | 0.1247 | 86.02 | 0.2354 | 3.211 | 0.4429 | 6.162 | 0.009656 | 37.5 | 0.01295 | 0 |
| expD_r2_eval_patch_hardgate | val/learned | 9.686e-08 | 0.0374 | 0.1337 | 89.13 | 0.2367 | 3.039 | 0.4671 | 6.412 | 0.009299 | 29.5 | 0.0167 | 0 |
| expD_r2_eval_patch_hardgate | test/analytic | 1.192e-07 | 0.04354 | 0.1319 | 88.95 | 0.2822 | 2.715 | 0.5482 | 6.138 | 0.01109 | 44 | 0.01052 | 0 |
| expD_r2_eval_patch_hardgate | test/learned | 1.192e-07 | 0.04452 | 0.1646 | 94.3 | 0.299 | 2.87 | 0.6014 | 6.201 | 0.01007 | 45.5 | 0.01857 | 0 |
| expD_r2_eval_patch_hardgate | test_geometry/analytic | 1.192e-07 | 0.04708 | 0.1067 | 80.74 | 0.2126 | 2.767 | 0.533 | 8.949 | 0.009593 | 42.5 | 0.01029 | 0 |
| expD_r2_eval_patch_hardgate | test_geometry/learned | 1.192e-07 | 0.03894 | 0.1282 | 87.34 | 0.2396 | 3.286 | 0.4644 | 9.486 | 0.01243 | 33.5 | 0.01527 | 0 |
| expD_r2_eval_point_hardgate | val/analytic | 9.686e-08 | 0.04552 | 0.1295 | 93 | 0.2303 | 3.028 | 0.4402 | 6.789 | 0.009121 | 29 | 0.009852 | 0 |
| expD_r2_eval_point_hardgate | val/learned | 9.686e-08 | 0.04668 | 0.1517 | 91.39 | 0.233 | 3.184 | 0.4914 | 7.328 | 0.01746 | 31 | 0.01514 | 0 |
| expD_r2_eval_point_hardgate | test/analytic | 1.192e-07 | 0.0481 | 0.1771 | 91.24 | 0.2764 | 2.942 | 0.4497 | 8.066 | 0.01234 | 25.5 | 0.009216 | 0 |
| expD_r2_eval_point_hardgate | test/learned | 1.192e-07 | 0.05026 | 0.1707 | 81.02 | 0.2722 | 2.984 | 0.4311 | 8.105 | 0.01032 | 24 | 0.01201 | 0 |
| expD_r2_eval_point_hardgate | test_geometry/analytic | 1.192e-07 | 0.04749 | 0.1113 | 80.41 | 0.2293 | 2.872 | 0.4605 | 9.206 | 0.01246 | 40.5 | 0.01032 | 0 |
| expD_r2_eval_point_hardgate | test_geometry/learned | 1.192e-07 | 0.04465 | 0.1119 | 79.35 | 0.2297 | 2.918 | 0.4383 | 9.219 | 0.007037 | 45.5 | 0.01022 | 0 |
| expD_r2_learned_frozen | val/gt | 9.686e-08 | 0.06271 | 0.3351 | 163.3 | 0.3873 | 4.676 | 0.4281 | 6.189 | 0.01089 | 31 | 0.2953 | 0 |
| expD_r2_learned_frozen | val/analytic | 9.686e-08 | 0.04132 | 0.1434 | 93.53 | 0.2403 | 2.983 | 0.4442 | 6.143 | 0.01081 | 31 | 0.01207 | 0 |
